time,x,y,yaw,vel_x,yaw_vel,,time,time,yaw,desired yaw,,,
0.195676088,0.007147063,-0.000112486,20623.95651,0,0,,0.768778563,0,2.061227535,90,,92.88298899,peak)/(final-100
0.324016094,0.007151259,-0.000112637,20623.95536,0,0,,0.822440863,0.0536623,5.205202382,90,,,
0.324213028,0.007151259,-0.000112637,20623.95536,0,0,,0.881844759,0.113066196,18.1667988,90,,,
0.371211529,0.007153326,-0.000112711,20623.95479,0,0,,0.939068317,0.170289755,22.87164571,90,,,
0.430441141,0.007157524,-0.000112862,20623.95364,0.15,4.521692774,,0.984118938,0.215340376,27.43675886,90,,,
0.491816282,0.007159593,-0.000112936,20623.95308,0.15,4.521692774,,1.049420118,0.280641556,37.40468926,90,,,
0.553013325,0.007163793,-0.000113087,20623.95192,0.15,4.521776826,,1.088765144,0.319986582,47.66459057,90,,,
0.597082853,0.007163793,-0.000113087,20623.95192,0.15,4.521776826,,1.142873287,0.374094725,52.53489883,90,,,
0.64365077,0.008643251,-0.000179059,20624.03378,0.15,4.51780532,,1.196844816,0.428066254,57.1838207,90,,,
0.704912424,0.011009267,-0.000256795,20626.2495,0.15,4.51780532,,1.25955224,0.490773678,61.82966196,90,,,
0.768778563,0.011985787,-0.000252976,2.061227535,0.15,4.409524738,,1.310422897,0.541644335,70.46884126,90,,,
0.822440863,0.012783977,-0.000218202,5.205202382,0.15,4.409524738,,1.375505447,0.606726885,78.52464463,90,,,
0.881844759,0.013000698,-0.000312054,18.1667988,0.15,3.961840025,,1.4234519,0.654673338,81.78643541,90,,,
0.939068317,0.012725277,-0.000431141,22.87164571,0.15,3.961840025,,1.47606945,0.707290888,84.72664688,90,,,
0.984118938,0.012862895,-0.000385075,27.43675886,0.15,3.280510251,,1.532597065,0.763818502,90.79670269,90,,,
1.049420118,0.014153723,0.000435857,37.40468926,0.15,3.280510251,,1.579728842,0.810950279,91.98613425,90,,,
1.088765144,0.017239015,0.003259988,47.66459057,0.15,2.324204883,,1.654555798,0.885777235,92.88298899,90,,,
1.142873287,0.018953008,0.005282782,52.53489883,0.15,2.324204883,,1.706160307,0.937381744,92.73655008,90,,,
1.196844816,0.020627587,0.007629146,57.1838207,0.15,1.830890236,,1.759249687,0.990471125,92.48808811,90,,,
1.25955224,0.022219151,0.010299035,61.82966196,0.15,1.830890236,,1.806551218,1.037772655,91.98124105,90,,,
1.310422897,0.024801304,0.016074807,70.46884126,0.15,0.954472475,,1.86341691,1.094638348,91.46371958,90,,,
1.375505447,0.026614112,0.02252258,78.52464463,0.15,0.954472475,,1.922780514,1.154001951,91.27622478,90,,,
1.4234519,0.027153023,0.025555765,81.78643541,0.15,0.401390487,,1.976873398,1.208094835,91.09090949,90,,,
1.47606945,0.027533658,0.028684762,84.72664688,0.15,0.401390487,,2.031652689,1.262874126,90.90047069,90,,,
1.532597065,0.027873476,0.038498985,90.79670269,0.15,0.043597776,,2.09231925,1.323540688,90.66283568,90,,,
1.579728842,0.027781061,0.04224434,91.98613425,0.15,0.043597776,,2.152036905,1.383258343,90.51829087,90,,,
1.654555798,0.027390931,0.050909408,92.88298899,0.15,-0.12887808,,2.216444731,1.447666168,90.40514044,90,,,
1.706160307,0.027146929,0.05581887,92.73655008,0.15,-0.12887808,,2.261583567,1.492805004,90.36574156,90,,,
1.759249687,0.026918925,0.060795481,92.48808811,0.15,-0.133733065,,2.337924719,1.569146156,90.32573904,90,,,
1.806551218,0.026521318,0.070915099,91.98124105,0.15,-0.133733065,,2.407091618,1.638313055,90.2526229,90,,,
1.86341691,0.026214443,0.081041963,91.46371958,0.15,-0.096821703,,2.468347311,1.699568748,90.18662759,90,,,
1.922780514,0.026094619,0.086021361,91.27622478,0.15,-0.096821703,,2.521794796,1.753016233,90.16256498,90,,,
1.976873398,0.025990915,0.091001177,91.09090949,0.15,-0.062368108,,2.57385397,1.805075407,90.13637549,90,,,
2.031652689,0.025900918,0.096131932,90.90047069,0.15,-0.062368108,,2.632908583,1.86413002,90.09644097,90,,,
2.09231925,0.025764733,0.106068233,90.66283568,0.15,-0.032392262,,2.692686081,1.923907518,90.06055184,90,,,
2.152036905,0.025663338,0.116086868,90.51829087,0.15,-0.032392262,,2.750826597,1.982048035,90.0490966,90,,,
2.216444731,0.025581845,0.126141328,90.40514044,0.15,-0.022665615,,2.818825006,2.050046444,90.0380144,90,,,
2.261583567,0.025548532,0.131094814,90.36574156,0.15,-0.022665615,,2.891866446,2.123087883,90.02208838,90,,,
2.337924719,0.02551853,0.136050099,90.32573904,0.15,-0.017873504,,2.944580317,2.175801754,90.02208838,90,,,
2.407091618,0.025467914,0.146111602,90.2526229,0.15,-0.017873504,,3.004395247,2.235616684,90.03198725,90,,,
2.468347311,0.025429164,0.156172608,90.18662759,0.15,-0.010774245,,3.067310095,2.298531532,90.03432962,90,,,
2.521794796,0.025413724,0.161121094,90.16256498,0.15,-0.010774245,,3.123836279,2.355057716,90.03480451,90,,,
2.57385397,0.025400789,0.166067664,90.13637549,0.15,-0.007944424,,3.171412706,2.402634144,90.03516277,90,,,
2.632908583,0.025380361,0.176122463,90.09644097,0.15,-0.007944424,,3.231250286,2.462471724,90.03379766,90,,,
2.692686081,0.0253665,0.18617835,90.06055184,0.15,-0.004712995,,3.288725853,2.51994729,90.02963449,90,,,
2.750826597,0.025361723,0.191131756,90.0490966,0.15,-0.004712995,,3.347041845,2.578263283,90.02450609,90,,,
2.818825006,0.025357933,0.196085189,90.0380144,0.15,-0.002399313,,3.395923615,2.627145052,90.01980331,90,,,
2.891866446,0.025352982,0.206139495,90.02208838,0.15,-0.002399313,,3.448969603,2.68019104,90.01028689,90,,,
