time,x,y,yaw,vel_x,yaw_vel
0.178441286,-1.98E-05,3.09E-06,0.00226004,0,0
0.237226486,-1.98E-05,3.15E-06,0.002311837,0,0
0.237462759,-1.98E-05,3.15E-06,0.002311837,0,0
0.288826942,-1.98E-05,3.17E-06,0.002329447,1.5,0
0.362933397,-1.98E-05,3.19E-06,0.00234654,1.5,0
0.426499128,0.00084198,3.48E-06,20626.41827,1.5,0
0.505149603,0.000875751,3.55E-06,20626.39687,1.5,0
0.566045761,0.001341195,3.03E-06,20626.39642,0,0
0.6148808,0.001341195,3.03E-06,20626.39642,0,0
0.66220808,0.001799483,2.48E-06,20626.32401,1.5,0
0.73496747,0.005754225,-8.87E-06,20626.31416,0,0
0.776156664,0.005754225,-8.87E-06,20626.31416,1.5,0
0.843364954,0.010257889,-2.97E-05,20626.04569,0,0
0.918107986,0.012176411,-4.62E-05,20625.94273,0,0
0.987165213,0.015857068,-8.44E-05,20625.82513,1.5,0
1.048710108,0.019413583,-0.000127575,20625.73728,1.5,0
1.101630926,0.02114386,-0.00015018,20625.69301,1.5,0
1.156262875,0.022179559,-0.000164145,20625.59186,1.5,0
1.222692966,0.02291585,-0.00017626,20625.45785,1.5,0
1.344111681,0.025482673,-0.000226447,20625.41667,1.5,0
1.418746948,0.027483798,-0.00026649,20625.39784,0,0
1.465046883,0.029835624,-0.000311991,20625.41074,0,0
1.513960123,0.03235276,-0.000359962,20625.32422,0,0
1.579854012,0.038681824,-0.000509002,20624.57976,0,0
1.654174089,0.040495128,-0.000575393,20624.30574,0,0
1.701653481,0.04238802,-0.000656537,20624.16993,1.5,0
1.745774984,0.046520761,-0.000827937,20623.94173,0,0
1.801508188,0.051311516,-0.001051796,20623.39063,1.5,0
1.86954236,0.05419315,-0.001214473,20622.98415,1.5,0
1.915599108,0.057442388,-0.001422674,20622.61071,0,0
1.965775013,0.063286154,-0.001836361,20622.22987,0,0
2.03208828,0.07112475,-0.00245135,20621.6978,0,0
2.084908009,0.075757675,-0.002845665,20621.5384,0,0
2.141566753,0.0798695,-0.003205477,20621.39713,0,0
2.22092104,0.085033348,-0.003676629,20621.02526,1.5,0
2.279040813,0.08698089,-0.00386503,20620.83864,0,0
2.339024782,0.089751487,-0.004144897,20620.41021,1.5,0
2.390981674,0.089876476,-0.004157885,20620.33015,1.5,0
2.455927372,0.090289521,-0.004202385,20620.29435,0,0
2.519650698,0.09149822,-0.004334413,20620.19261,1.5,0
2.570407391,0.093558035,-0.004564097,20620.04117,0,0
2.632135153,0.10393584,-0.005776813,20619.71833,0,0
2.690923691,0.10797025,-0.006256206,20619.60811,0,0
2.751027107,0.116328209,-0.007281174,20619.52271,0,0
2.811000109,0.120651121,-0.007805178,20619.60242,1.5,0
2.859034061,0.120651121,-0.007805178,20619.60242,0,0
2.913809061,0.139678836,-0.010142626,20618.96283,0,0
2.990367651,0.144639949,-0.010806686,20618.64294,0,0
3.043297768,0.149393478,-0.011473365,20618.38312,0,0
3.114976168,0.153501303,-0.012060805,20618.33905,1.5,0
3.186382294,0.159908566,-0.012966986,20618.49935,1.5,0
3.25498724,0.162845775,-0.013380504,20618.44391,0,0
3.307278633,0.164887975,-0.013669433,20618.43356,1.5,0
3.370091438,0.17026567,-0.014445497,20617.943,0,0
3.422668219,0.172754325,-0.014824635,20617.61754,1.5,0
3.520127773,0.180132962,-0.016036129,20616.66317,0,0
3.60038352,0.184599085,-0.016820234,20616.41692,0,0
3.665597439,0.195138904,-0.018704241,20616.38344,0,0
3.716193438,0.201078296,-0.019749434,20616.68138,0,0
3.774307251,0.21324346,-0.021783809,20617.14895,0,0
3.839751244,0.225499788,-0.023810534,20616.89188,0,0
3.899883509,0.232326047,-0.024991474,20616.30024,0,0
3.972395182,0.239378564,-0.026312595,20615.30285,0,0
4.025264263,0.246890402,-0.027876481,20614.05893,0,0
4.076434374,0.255096057,-0.02977769,20612.70563,1.5,0
4.155294657,0.279756535,-0.036320635,20611.13167,1.5,0
4.211659908,0.288380734,-0.038685149,20611.21541,1.5,0
4.281713486,0.306949802,-0.043611057,20612.09199,1.5,0
4.335419655,0.316674477,-0.046077081,20612.33247,0,0
4.388191223,0.337020784,-0.051255545,20611.89312,0,0
4.459539175,0.359217659,-0.057292693,20610.56196,1.5,0
4.51319766,0.371337818,-0.060803336,20610.17283,1.5,0
4.569919586,0.383386071,-0.064328971,20610.22418,0,0
4.6288836,0.395450252,-0.067840667,20610.22322,0,0
4.678763628,0.418395553,-0.074526718,20610.49676,0,0
4.751276016,0.438666675,-0.080055265,20612.24616,0,0
4.830891609,0.455427614,-0.083981637,20614.53089,1.5,0
4.877543926,0.463158357,-0.085564225,20615.22053,0,0
4.940188885,0.470078368,-0.08692695,20615.44997,0,0
4.989796638,0.481909036,-0.089259694,20614.90337,0,0
5.04504776,0.491031493,-0.091266815,20612.75922,0,0
5.120131254,0.494854685,-0.092248811,20611.02891,0,0
5.172643185,0.498052053,-0.093182266,20608.99087,0,0
5.229207039,0.500919561,-0.094134511,20606.81602,0,0
5.285654306,0.506401546,-0.096290308,20602.76384,0,-0.15
5.350846529,0.511308596,-0.098630406,20598.97201,0,0
5.42129159,0.515787563,-0.101112192,20595.67522,0,-0.15
5.480956078,0.517912098,-0.102411088,20594.0722,0,0
5.572813749,0.521585761,-0.104872287,20590.97385,0,-0.15
5.669124126,0.523377159,-0.106176396,20589.54749,0,0
